id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
4fcabbd3-1a9a-434e-8f52-1f089f6c296d,Linear Regression,training the <your model> model,,2025-06-12 15:20:30,4090.2663345336914,0.0023142428657833,0.0009120824555339,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
95b80102-d793-40bd-8f84-9079c0ddc935,Linear Regression,training the <your model> model,N/A,2025-06-12 15:10:53,4670.2627148628235,0.0025165530634355475,0.0009918163437020277,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
cc74370e-d9b3-464d-b3f8-b582b7aa7aa9,LOCF,training the <your model> model,,2025-06-12 15:49:40,0.8281221389770508,4.2870264126122495e-08,1.6895899886595023e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
232fb4c9-6e6f-4087-a3de-d98b69ef81f7,NOCB,training the <your model> model,,2025-06-12 15:49:47,0.8307156562805176,4.321916798346592e-08,1.703340882813964e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
af251be1-b604-4c45-a1c7-e1548417d46b,Linear Interpolation,training the <your model> model,,2025-06-12 15:49:54,0.8495745658874512,4.421933596328625e-08,1.7427592031842484e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
329fdee5-37de-4479-9e3f-ff73daf67d54,Linear Regression,training the <your model> model,,2025-06-12 15:50:02,0.862933874130249,4.503829181601305e-08,1.7750356455651614e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
87eb5b32-8c4d-4fb0-aada-b5e410b623a8,K-Nearest Neighbor,training the <your model> model,,2025-06-12 15:50:09,45.70081448554993,2.4979779756280096e-05,9.844955858205842e-06,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
a5bdf5a8-51bb-44e5-9987-1dc44fe13b27,MICE,training the <your model> model,,2025-06-12 15:51:01,0.9859228134155272,5.2461753174479014e-08,2.0676068775866143e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
32d58535-1223-4318-a193-cb64306b3eb2,LightGBM,training the <your model> model,,2025-06-12 15:51:09,1.1631710529327393,6.27655746448378e-08,2.473697998229954e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
a8d2ab00-27d5-4212-a90d-4376ab2c6eee,LOCF,training the <your model> model,,2025-06-12 15:51:16,0.8321702480316162,6.108077332634643e-08,2.4072971141059683e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
758fef62-5299-4934-96ee-a0606826e933,NOCB,training the <your model> model,,2025-06-12 15:51:23,0.8314497470855713,4.3256427092046575e-08,1.7048093276236117e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
31037ce0-4545-469b-b0ed-7fcd689190f5,Linear Interpolation,training the <your model> model,,2025-06-12 15:51:31,0.8724467754364014,4.4623289074744806e-08,1.75867968202712e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
74d0b262-44ac-41a6-a952-ed04513fd7aa,Linear Regression,training the <your model> model,,2025-06-12 15:51:38,0.8710381984710693,4.5618504329259687e-08,1.7979028070734842e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
aea490f0-5733-44b0-895f-99fd08b3ab68,K-Nearest Neighbor,training the <your model> model,,2025-06-12 15:51:45,54.720778703689575,6.790074617933147e-05,2.676083838195958e-05,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
facfa7a5-8761-4cb3-9401-7c48da17f1ff,MICE,training the <your model> model,,2025-06-12 15:52:47,1.0373942852020264,5.534317798719712e-08,2.181168727878017e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
d598b980-15f4-4d17-8d21-e51c010784ce,LightGBM,training the <your model> model,,2025-06-12 15:52:54,1.2289745807647705,6.683679876914538e-08,2.6341518620499283e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
1d16e8cf-f1a3-4154-8a34-58f386af3dc4,LOCF,training the <your model> model,,2025-06-12 15:53:02,0.8404574394226074,4.364775565363743e-08,1.7202322514944625e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
017b9fb5-67f2-4e21-be8d-c0e7eea82bb6,NOCB,training the <your model> model,,2025-06-12 15:53:09,0.8947153091430664,4.357441971251319e-08,1.717341957383656e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
98a4de6a-6804-4ccb-b0f6-ed823530562b,Linear Interpolation,training the <your model> model,,2025-06-12 15:53:16,0.9355792999267578,4.92791130227488e-08,1.9421736187186693e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
87794225-4487-40da-b77f-e40c1e0aef70,Linear Regression,training the <your model> model,,2025-06-12 15:53:24,2.335571527481079,1.326851374665239e-07,5.2293468322894e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
442eef84-3c26-442a-9d57-e109ef7e1541,K-Nearest Neighbor,training the <your model> model,,2025-06-12 15:53:33,110.53957033157349,0.0001320869984606,5.205773157231476e-05,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
5552f4ab-559a-4a24-8f8c-6cef21d839aa,MICE,training the <your model> model,,2025-06-12 15:55:30,12.031790494918823,4.00705056519922e-05,1.579246747604621e-05,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
f6d72495-e5a8-4b12-8d9d-70b9f7b8b53e,LightGBM,training the <your model> model,,2025-06-12 15:55:48,4.588406562805176,2.5352180076462604e-07,9.991725155195212e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
ff4d80f5-e2a1-46b4-91c7-9f0a627da74b,LOCF,training the <your model> model,,2025-06-12 15:55:59,0.8324069976806641,4.113957512828393e-08,1.6213805930833877e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
9ebb4832-eb5b-4020-a43f-0c22598f7a57,NOCB,training the <your model> model,,2025-06-12 15:56:06,0.829291820526123,4.10598557396232e-08,1.6182387164533076e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
220ccf92-be82-4d60-a2b0-3eb2360e6aa7,Linear Interpolation,training the <your model> model,,2025-06-12 15:56:14,0.8398232460021973,4.151843730682004e-08,1.6363121956051988e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
ec108737-3a6e-44c4-acbd-203f49e866b2,Linear Regression,training the <your model> model,,2025-06-12 15:56:21,0.8423261642456055,4.146154693813741e-08,1.6340700494617902e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
78c3d60c-b54d-47af-b689-d00797d725c5,K-Nearest Neighbor,training the <your model> model,,2025-06-12 15:56:28,34.934911489486694,1.898114010469272e-05,7.48078999464118e-06,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
9c91671a-d458-4216-aef0-06e71a66e715,MICE,training the <your model> model,,2025-06-12 15:57:10,0.8354296684265137,4.137754260227666e-08,1.630759295778147e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
d80f68b0-db50-4fb0-bb14-4ab900754f96,LightGBM,training the <your model> model,,2025-06-12 15:57:17,0.8339431285858154,5.781717030917232e-08,2.2786729710740072e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
4d0b98d7-3270-431e-bf4c-e461a761cbbb,LOCF,training the <your model> model,,2025-06-12 15:57:24,0.8302364349365234,4.1279654291770384e-08,1.6269013510509668e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
59905601-ce0d-4233-a3f4-53024949f8ab,NOCB,training the <your model> model,,2025-06-12 15:57:31,0.8298406600952148,4.1233812135885734e-08,1.6250946337558876e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
17d68668-c8ab-42fb-bf6a-6b4f9343cdc7,Linear Interpolation,training the <your model> model,,2025-06-12 15:57:39,0.88700270652771,4.1712019703084025e-08,1.6439416069320372e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
86c13bf3-0653-40ba-95c0-31579c7e3a1f,Linear Regression,training the <your model> model,,2025-06-12 15:57:47,0.8377871513366699,4.162227083005139e-08,1.6404044512727367e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
c55f0b0a-e21a-4769-aba5-1461bf6388cc,K-Nearest Neighbor,training the <your model> model,,2025-06-12 15:57:55,37.27284860610962,1.8448898904468303e-05,7.271024689532335e-06,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
2c177ae7-d2fb-42dd-9381-93fc230e1e17,MICE,training the <your model> model,,2025-06-12 15:58:38,0.8345739841461182,4.173990683625562e-08,1.6450406862584557e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
0e863847-ee0c-4928-a554-046a6d2100e5,LightGBM,training the <your model> model,,2025-06-12 15:58:46,0.8288919925689697,4.164218729139672e-08,1.6411893928723403e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
74e40fca-fc70-4a3a-ab86-c17a4a04466b,LOCF,training the <your model> model,,2025-06-12 15:58:53,0.8303043842315674,4.1522332830178745e-08,1.6364657248031557e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
28b65430-cd30-45f5-a129-1f73d493961a,NOCB,training the <your model> model,,2025-06-12 15:59:00,0.8292951583862305,4.145892919552808e-08,1.6339668797753943e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
31e7eced-a047-4757-bd05-04420f72313e,Linear Interpolation,training the <your model> model,,2025-06-12 15:59:07,0.8594353199005127,4.316350787102391e-08,1.7011472231604332e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
891b0e49-d67f-430f-977e-2f86bad3891a,Linear Regression,training the <your model> model,,2025-06-12 15:59:15,0.9144413471221924,4.590046990927024e-08,1.8090155499231857e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
1d511435-d8b6-4277-bf36-fda90bc15437,K-Nearest Neighbor,training the <your model> model,,2025-06-12 15:59:22,61.15164732933045,0.0001458919475719,5.7498496701216274e-05,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
93ce3d88-fe36-468c-816d-fa29a8f65a8f,MICE,training the <your model> model,,2025-06-12 16:00:30,1.2305870056152344,6.752454620453818e-08,2.6612571576493973e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
53348b20-f5da-42ee-baaa-f891696e53a8,LightGBM,training the <your model> model,,2025-06-12 16:00:37,1.489368915557861,8.32191248912295e-08,3.27980718447567e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
f1e4fd3e-00ef-4aea-8f8c-dafae37f0360,LOCF,training the <your model> model,,2025-06-12 16:00:45,0.8366687297821045,6.174780943729905e-08,2.433586141199999e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
48c6706a-e56b-4f58-af24-78fc395e5faf,NOCB,training the <your model> model,,2025-06-12 16:00:52,0.8416867256164551,4.369642524807205e-08,1.7221504029494406e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
5d9cca1b-77f6-41ff-bdba-86e56d19544e,Linear Interpolation,training the <your model> model,,2025-06-12 16:01:00,0.8535146713256836,4.5167262003739466e-08,1.7801185799127786e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
c6d16f21-2c77-45ac-a1ad-60c9c05608fb,Linear Regression,training the <your model> model,,2025-06-12 16:01:07,0.88775634765625,6.711807126445516e-08,2.645237289253327e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
07eb332e-c942-4078-be3b-6260394b1d9d,K-Nearest Neighbor,training the <your model> model,,2025-06-12 16:01:14,62.38513231277466,0.0001038901151315,4.094486050530977e-05,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
ec62dbd4-14bd-4ee3-b980-dbbd654abc71,MICE,training the <your model> model,,2025-06-12 16:02:23,1.130894899368286,5.7948346649633714e-08,2.2838428536513693e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
835c000a-d66b-4aa0-a5c8-fd95450ad7dd,LightGBM,training the <your model> model,,2025-06-12 16:02:31,1.3996121883392334,7.315929442180885e-08,2.883332163964004e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
bf3c9a93-1cff-41c8-8985-0f70f116cbd3,LOCF,training the <your model> model,,2025-06-12 16:02:39,0.8372375965118408,4.16435580336838e-08,1.6412434161561358e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
88edfb81-9f11-482d-bee5-8cce146ce3d7,NOCB,training the <your model> model,,2025-06-12 16:02:46,0.8359441757202148,4.185673085733772e-08,1.649644919530137e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
b8c9c7dc-8998-4e4f-ae7f-5b007c4450ba,Linear Interpolation,training the <your model> model,,2025-06-12 16:02:53,0.866039514541626,4.4216869008171975e-08,1.7426619762893716e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
152ea0f7-cddc-4ec3-ae7c-65e9dba8c479,Linear Regression,training the <your model> model,,2025-06-12 16:03:01,0.9641776084899902,7.281229044666465e-08,2.8696561473968133e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
40536388-025f-46a3-a914-ec3aba2c6176,K-Nearest Neighbor,training the <your model> model,,2025-06-12 16:03:08,83.40441465377808,0.0001216217459583,4.7933197651886194e-05,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
1f36c1dc-400b-4c2e-925a-ffcd082159ff,MICE,training the <your model> model,,2025-06-12 16:04:38,1.487372636795044,8.511726347630127e-08,3.3546160529489433e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
5aee5a46-3307-4cfd-a73a-357a9ff7589e,LightGBM,training the <your model> model,,2025-06-12 16:04:46,2.149843692779541,1.2518955812386897e-07,4.933933307910488e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
551b8745-2e53-4cba-9cfa-9ce0617a9430,LOCF,training the <your model> model,,2025-06-12 16:04:55,0.8302395343780518,4.4808570464738295e-08,1.765981936585126e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
519b31c2-c327-41c9-99cb-7128e0f006e9,NOCB,training the <your model> model,,2025-06-12 16:05:02,0.8347911834716797,4.504062439991685e-08,1.775127576662203e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
