Method,MAE,NRMSE
LOCF,40.332649,0.000101
NOCB,40.332572,0.000101
Linear Interpolation,3.102423,9e-06
Linear Regression,38845.94366,0.102787
LightGBM,5735.173838,0.059451
LOCF,1.865317,0.000156
NOCB,1.872306,0.000154
Linear Interpolation,0.239115,2.4e-05
Linear Regression,2526.00575,0.183984
LightGBM,218.792679,0.067516
LOCF,99.636193,0.000127
NOCB,99.647775,0.000127
Linear Interpolation,4.182595,9e-06
Linear Regression,24833.055423,0.038331
LightGBM,2376.569478,0.005636
LOCF,0.724226,0.0001
NOCB,0.729717,0.000101
Linear Interpolation,0.10906,2.4e-05
Linear Regression,468.276222,0.071915
LightGBM,20.085229,0.013139
LOCF,0.357553,0.000121
NOCB,0.351387,0.000116
Linear Interpolation,0.087872,3.7e-05
Linear Regression,298.844325,0.093071
LightGBM,9.649369,0.013041
LOCF,0.529562,0.000166
NOCB,0.529545,0.000167
Linear Interpolation,0.136145,4.6e-05
Linear Regression,340.825632,0.090068
LightGBM,13.549314,0.013187
LOCF,0.63491,0.0001
NOCB,0.645272,0.000104
Linear Interpolation,0.127557,2.4e-05
Linear Regression,649.730993,0.081214
LightGBM,21.263773,0.006124
LOCF,0.348183,5.3e-05
NOCB,0.353626,5.4e-05
Linear Interpolation,0.075575,1.4e-05
Linear Regression,1627.72841,0.222125
LightGBM,141.552063,0.059533
LOCF,0.40916,8.8e-05
NOCB,0.413159,8.8e-05
Linear Interpolation,0.0737,1.8e-05
Linear Regression,452.127413,0.085398
LightGBM,14.634841,0.008899
