Method,Runtime,CO2 Emissions,Energy Consumption
LOCF,0.781326,2.015988e-08,5.115201e-08
NOCB,0.785925,2.744159e-08,6.962802e-08
Linear Interpolation,0.865964,2.248844e-08,5.706031e-08
Linear Regression,20.530303,1.706977e-05,4.331142e-05
LightGBM,38.371312,2.583418e-05,6.554951e-05
LOCF,0.773798,2.039847e-08,5.175739e-08
NOCB,0.777282,2.046566e-08,5.192788e-08
Linear Interpolation,0.818534,2.163757e-08,5.490138e-08
Linear Regression,3.198848,8.911251e-08,2.261067e-07
LightGBM,13.153138,7.464479e-06,1.893975e-05
LOCF,0.7924,2.167275e-08,5.499066e-08
NOCB,0.793432,2.220129e-08,5.633173e-08
Linear Interpolation,0.892863,2.58196e-08,6.551254e-08
Linear Regression,28.87267,3.062832e-05,7.771377e-05
LightGBM,83.004122,6.67796e-05,0.000169441
LOCF,0.778451,3.344855e-08,8.48696e-08
NOCB,0.786557,3.366468e-08,8.5418e-08
Linear Interpolation,0.848081,3.663526e-08,9.295528e-08
Linear Regression,12.752737,1.552186e-05,3.93839e-05
LightGBM,36.243909,2.643963e-05,6.708573e-05
LOCF,0.788916,3.66641e-08,9.302847e-08
NOCB,0.79058,3.664732e-08,9.29859e-08
Linear Interpolation,0.902762,4.220591e-08,1.070898e-07
Linear Regression,32.021199,3.61567e-05,9.174104e-05
LightGBM,81.016896,6.785284e-05,0.0001721642
LOCF,0.77008,3.163615e-08,8.027095e-08
NOCB,0.775677,3.17993e-08,8.068493e-08
Linear Interpolation,0.810236,4.102272e-08,1.040877e-07
Linear Regression,3.359088,1.456644e-07,3.695969e-07
LightGBM,10.080338,4.418009e-07,1.120989e-06
LOCF,0.767262,2.963356e-08,7.518976e-08
NOCB,0.774401,2.984185e-08,7.571826e-08
Linear Interpolation,0.782567,3.01983e-08,7.662267e-08
Linear Regression,0.874239,3.398506e-08,8.62309e-08
LightGBM,1.689606,6.770564e-08,1.717907e-07
LOCF,0.778282,3.002425e-08,7.618105e-08
NOCB,0.778784,3.005733e-08,7.626498e-08
Linear Interpolation,0.838029,6.863961e-08,1.741605e-07
Linear Regression,9.953034,4.10119e-07,1.040602e-06
LightGBM,19.091736,9.000084e-06,2.283607e-05
LOCF,0.784337,3.031108e-08,7.690883e-08
NOCB,0.787977,3.048546e-08,7.735129e-08
Linear Interpolation,0.877885,8.49628e-08,2.155776e-07
Linear Regression,21.592547,3.309829e-05,8.398086e-05
LightGBM,47.900449,3.025172e-05,7.675821e-05
LOCF,0.769027,3.161553e-08,8.021863e-08
NOCB,0.772713,3.173331e-08,8.05175e-08
Linear Interpolation,0.806857,3.316078e-08,8.413942e-08
Linear Regression,2.157549,9.260299e-08,2.349632e-07
LightGBM,6.236812,2.725963e-07,6.916635e-07
LOCF,0.769188,3.662182e-08,9.292118e-08
NOCB,0.77115,2.981126e-08,7.564063e-08
Linear Interpolation,0.775514,2.997066e-08,7.604509e-08
Linear Regression,0.787907,3.057565e-08,7.758014e-08
LightGBM,0.972648,3.813559e-08,9.676211e-08
LOCF,0.76796,2.972401e-08,7.541927e-08
NOCB,0.773084,3.692336e-08,9.368629e-08
Linear Interpolation,0.792688,3.07463e-08,7.801313e-08
Linear Regression,0.946898,3.715535e-08,9.427492e-08
LightGBM,2.212,1.43093e-07,3.630725e-07
LOCF,0.771422,2.545902e-08,6.459761e-08
NOCB,0.773643,2.543474e-08,6.4536e-08
Linear Interpolation,0.803805,2.648069e-08,6.718991e-08
Linear Regression,1.625217,5.551863e-08,1.408684e-07
LightGBM,5.609583,1.963173e-07,4.981195e-07
LOCF,0.786822,2.778234e-08,7.049263e-08
NOCB,0.788884,2.830775e-08,7.182576e-08
Linear Interpolation,0.874198,3.213065e-08,8.152566e-08
Linear Regression,23.956328,3.107039e-05,7.883544e-05
LightGBM,51.992043,3.716935e-05,9.431045e-05
